2,3,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
6,1302,58598,27,4,167,0,0,179,0,148,217,0,97,48,0,0,100,318163,318163,0
6,1302,58598,27,4,167,0,0,179,0,148,217,0,97,48,0,0,100,318163,318163,0
6,356,135,27,170,140,0,35,237,0,90,627,0,521,81,0,0,100,6604330,6604330,0
17,83,58708,0,170,140,0,35,237,0,90,627,0,521,81,0,0,100,6604330,6604330,0
17,574,3389,0,2,0,0,0,0,0,0,11,0,8,3,0,0,100,13887,13887,0
6,2386,49161,26,170,140,0,35,237,0,90,627,0,521,81,0,0,100,6604330,6604330,0
17,160,53,0,170,140,0,35,237,0,90,627,0,521,81,0,0,100,6604330,6604330,0
17,160,53,0,170,140,0,35,237,0,90,627,0,521,81,0,0,100,6604330,6604330,0
6,52,60131,16,4,2,0,3,0,0,38,51,0,8,10,0,0,100,201549,201549,0
6,52,60131,16,4,2,0,3,0,0,38,51,0,8,10,0,0,100,201549,201549,0
17,96,137,0,1,0,0,0,0,0,4,4,0,0,1,0,0,100,384,384,0
6,52,60131,16,4,2,0,3,0,0,38,51,0,8,10,0,0,100,201549,201549,0
17,96,137,0,1,0,0,0,0,0,4,4,0,0,1,0,0,100,384,384,0
17,96,137,0,1,0,0,0,0,0,4,4,0,0,1,0,0,100,384,384,0
17,96,137,0,1,0,0,0,0,0,4,4,0,0,1,0,0,100,384,384,0
6,249,443,24,11,1,0,0,1,0,0,55,0,33,11,0,0,100,83967,83967,0
17,320,53,0,170,140,0,35,237,0,90,627,0,521,81,0,0,100,6604330,6604330,0
6,3677,65461,24,8,13,0,0,14,0,79,121,0,17,23,0,0,100,74174,74174,0
17,78,53,0,170,140,0,35,237,0,90,627,0,521,81,0,0,100,6604330,6604330,0
6,249,443,24,11,1,0,0,1,0,0,55,0,33,11,0,0,100,83967,83967,0
6,1634,135,27,170,140,0,35,237,0,90,627,0,521,81,0,0,100,6604330,6604330,0
17,78,53,0,170,140,0,35,237,0,90,627,0,521,81,0,0,100,6604330,6604330,0
6,356,135,27,170,140,0,35,237,0,90,627,0,521,81,0,0,100,6604330,6604330,0
17,68,51776,0,7,10,0,0,14,0,70,53,0,4,9,0,0,100,71267,71267,0
6,1634,135,27,170,140,0,35,237,0,90,627,0,521,81,0,0,100,6604330,6604330,0
6,416,37118,27,4,167,0,0,179,0,148,217,0,97,48,0,0,100,318163,318163,0
6,5928,51746,222,23,60,0,6,70,0,101,212,0,118,47,0,0,100,1319420,1319420,0
6,1634,135,27,170,140,0,35,237,0,90,627,0,521,81,0,0,100,6604330,6604330,0
17,120,59550,0,7,10,0,0,14,0,70,53,0,4,9,0,0,100,71267,71267,0
6,308,49415,24,4,2,0,3,0,0,38,51,0,8,10,0,0,100,201549,201549,0
6,416,37118,27,4,167,0,0,179,0,148,217,0,97,48,0,0,100,318163,318163,0
17,158,62507,0,5,0,0,0,0,0,17,20,0,6,7,0,0,100,24829,24829,0
17,158,62507,0,5,0,0,0,0,0,17,20,0,6,7,0,0,100,24829,24829,0
6,1634,135,27,170,140,0,35,237,0,90,627,0,521,81,0,0,100,6604330,6604330,0
