AWq0zTgJ9vWtkBq6JLPQ,6,308,192.168.254.105,49415,24,2019-05-14T05:25:09.000Z,4,2,0,3,0,0,38,51,0,8,10,0,0.0,100.0,201549,201549,0
AWq0zTgJ9vWtkBq6JLPa,6,416,192.168.254.253,37118,27,2019-05-14T05:25:09.000Z,4,167,0,0,179,0,148,217,0,97,48,0,0.0,100.0,318163,318163,0
AWq0zTgJ9vWtkBq6JLPg,17,158,192.168.254.144,62507,0,2019-05-14T05:25:09.000Z,5,0,0,0,0,0,17,20,0,6,7,0,0.0,100.0,24829,24829,0
AWq0zTgJ9vWtkBq6JLPi,17,158,192.168.254.144,62507,0,2019-05-14T05:25:09.000Z,5,0,0,0,0,0,17,20,0,6,7,0,0.0,100.0,24829,24829,0
AWq0zTgJ9vWtkBq6JLPk,6,1634,192.168.254.236,135,27,2019-05-14T05:25:09.005Z,170,140,0,35,237,0,90,627,0,521,81,0,0.0,100.0,6604330,6604330,0
AWq0zTgJ9vWtkBq6JLPl,6,1634,192.168.254.236,135,27,2019-05-14T05:25:09.005Z,170,140,0,35,237,0,90,627,0,521,81,0,0.0,100.0,6604330,6604330,0
AWq0zTgJ9vWtkBq6JLPw,17,158,192.168.254.144,62507,0,2019-05-14T05:25:09.000Z,5,0,0,0,0,0,17,20,0,6,7,0,0.0,100.0,24829,24829,0
AWq0zTgJ9vWtkBq6JLPx,6,3444,192.168.254.253,55447,26,2019-05-14T05:25:09.005Z,4,167,0,0,179,0,148,217,0,97,48,0,0.0,100.0,318163,318163,0
AWq0zTgJ9vWtkBq6JLP3,6,356,192.168.254.236,135,27,2019-05-14T05:25:09.000Z,170,140,0,35,237,0,90,627,0,521,81,0,0.0,100.0,6604330,6604330,0
AWq0zTgJ9vWtkBq6JLP4,6,1921,192.168.254.249,443,26,2019-05-14T05:25:09.000Z,23,60,0,6,70,0,101,212,0,118,47,0,0.0,100.0,1319420,1319420,0
AWq0zTgJ9vWtkBq6JLP6,17,68,192.168.254.77,51776,0,2019-05-14T05:25:09.005Z,7,10,0,0,14,0,70,53,0,4,9,0,0.0,100.0,71267,71267,0
AWq0zTgh9vWtkBq6JLQG,6,79,216.58.217.34,443,24,2019-05-14T05:25:09.005Z,1,0,0,0,0,0,0,5,0,3,1,0,0.0,100.0,237,237,0
AWq0zTgh9vWtkBq6JLQH,6,400,192.168.254.240,1433,24,2019-05-14T05:25:09.000Z,10,5,0,0,5,0,0,30,0,28,7,0,0.0,100.0,17331,17331,0
AWq0zTgh9vWtkBq6JLQK,6,416,192.168.254.253,37118,27,2019-05-14T05:25:09.000Z,4,167,0,0,179,0,148,217,0,97,48,0,0.0,100.0,318163,318163,0
AWq0zTgh9vWtkBq6JLQQ,1,144,192.168.21.99,3,0,2019-05-14T05:25:09.005Z,1,0,3,0,0,0,3,0,0,0,1,0,100.0,0.0,432,432,0
AWq0zTgh9vWtkBq6JLQR,17,158,192.168.254.144,62507,0,2019-05-14T05:25:09.000Z,5,0,0,0,0,0,17,20,0,6,7,0,0.0,100.0,24829,24829,0
AWq0zTgh9vWtkBq6JLQX,6,400,192.168.254.240,1433,24,2019-05-14T05:25:09.000Z,10,5,0,0,5,0,0,30,0,28,7,0,0.0,100.0,17331,17331,0
AWq0zTgh9vWtkBq6JLQc,6,982,74.125.20.189,443,24,2019-05-14T05:25:09.005Z,1,0,0,0,0,0,0,7,0,4,1,0,0.0,100.0,3928,3928,0
AWq0zTgh9vWtkBq6JLQo,6,416,192.168.254.253,37118,27,2019-05-14T05:25:09.000Z,4,167,0,0,179,0,148,217,0,97,48,0,0.0,100.0,318163,318163,0
AWq0zTgh9vWtkBq6JLQ9,17,120,192.168.254.77,59550,0,2019-05-14T05:25:09.005Z,7,10,0,0,14,0,70,53,0,4,9,0,0.0,100.0,71267,71267,0
AWq0zTgh9vWtkBq6JLRA,17,90,192.168.254.236,60511,0,2019-05-14T05:25:09.005Z,170,140,0,35,237,0,90,627,0,521,81,0,0.0,100.0,6604330,6604330,0
AWq0zTgh9vWtkBq6JLRE,17,68,192.168.254.77,51776,0,2019-05-14T05:25:09.005Z,7,10,0,0,14,0,70,53,0,4,9,0,0.0,100.0,71267,71267,0
AWq0zTgh9vWtkBq6JLRR,6,308,192.168.254.105,49415,24,2019-05-14T05:25:09.000Z,4,2,0,3,0,0,38,51,0,8,10,0,0.0,100.0,201549,201549,0
AWq0zTgh9vWtkBq6JLRT,6,3444,192.168.254.253,55447,26,2019-05-14T05:25:09.005Z,4,167,0,0,179,0,148,217,0,97,48,0,0.0,100.0,318163,318163,0
AWq0zTgh9vWtkBq6JLRa,1,144,192.168.21.99,3,0,2019-05-14T05:25:09.005Z,1,0,3,0,0,0,3,0,0,0,1,0,100.0,0.0,432,432,0
AWq0zTgh9vWtkBq6JLRe,6,3444,192.168.254.253,55447,26,2019-05-14T05:25:09.005Z,4,167,0,0,179,0,148,217,0,97,48,0,0.0,100.0,318163,318163,0
AWq0zTgh9vWtkBq6JLRg,6,1921,192.168.254.249,443,26,2019-05-14T05:25:09.000Z,23,60,0,6,70,0,101,212,0,118,47,0,0.0,100.0,1319420,1319420,0
AWq0zTgh9vWtkBq6JLRm,6,982,74.125.20.189,443,24,2019-05-14T05:25:09.005Z,1,0,0,0,0,0,0,7,0,4,1,0,0.0,100.0,3928,3928,0
AWq0zTgh9vWtkBq6JLRp,6,982,74.125.20.189,443,24,2019-05-14T05:25:09.005Z,1,0,0,0,0,0,0,7,0,4,1,0,0.0,100.0,3928,3928,0
AWq0zTgh9vWtkBq6JLRq,6,416,192.168.254.253,37118,27,2019-05-14T05:25:09.000Z,4,167,0,0,179,0,148,217,0,97,48,0,0.0,100.0,318163,318163,0
AWq0zTgh9vWtkBq6JLRs,6,416,192.168.254.253,37118,27,2019-05-14T05:25:09.000Z,4,167,0,0,179,0,148,217,0,97,48,0,0.0,100.0,318163,318163,0
AWq0zTgh9vWtkBq6JLRu,17,158,192.168.254.144,62507,0,2019-05-14T05:25:09.000Z,5,0,0,0,0,0,17,20,0,6,7,0,0.0,100.0,24829,24829,0
AWq0zTgh9vWtkBq6JLR3,6,332,52.96.59.162,443,24,2019-05-14T05:25:09.000Z,5,0,0,0,0,0,0,17,0,17,5,0,0.0,100.0,32588,32588,0
AWq0zTgh9vWtkBq6JLR4,6,400,192.168.254.240,1433,24,2019-05-14T05:25:09.000Z,10,5,0,0,5,0,0,30,0,28,7,0,0.0,100.0,17331,17331,0
AWq0zTe69vWtkBq6JLDc,6,38268,192.168.254.249,48578,24,2019-05-14T05:25:09.005Z,23,60,0,6,70,0,101,212,0,118,47,0,0.0,100.0,1319420,1319420,0
AWq0zTe69vWtkBq6JLDf,6,93,192.168.254.240,1433,16,2019-05-14T05:25:09.000Z,10,5,0,0,5,0,0,30,0,28,7,0,0.0,100.0,17331,17331,0
AWq0zTe69vWtkBq6JLDk,6,93,192.168.254.240,1433,16,2019-05-14T05:25:09.000Z,10,5,0,0,5,0,0,30,0,28,7,0,0.0,100.0,17331,17331,0
AWq0zTe69vWtkBq6JLDw,6,38268,192.168.254.249,48578,24,2019-05-14T05:25:09.005Z,23,60,0,6,70,0,101,212,0,118,47,0,0.0,100.0,1319420,1319420,0
AWq0zTe69vWtkBq6JLD2,6,125,192.168.254.93,49900,24,2019-05-14T05:25:09.005Z,13,18,0,0,16,0,66,105,0,23,27,0,0.0,100.0,81879,81879,0
